listing_url,condition,currency,data_source,is_synthetic,location,price,product_title,product_name,scraped_at,search_category,seller,price_category,matched_listing_url,match_score,match_status
https://mock.echochain.local/listing/00012,open box,USD,synthetic_mock,True,Phoenix,82.17,Sony Model 61 Open Box 128GB,Sony Model 61 Open Box 128GB,2026-08-19 15:30:16,sony headphones,mock_seller_93,Low,https://mock.echochain.local/listing/00462,90.91,Strong Match
https://mock.echochain.local/listing/00460,used,USD,synthetic_mock,True,Houston,386.08,HP 14-em0002wm Laptop Used Unlocked,HP 14-em0002wm Laptop Used Unlocked,2026-08-27 09:43:16,hp laptop,mock_seller_85,Low,https://mock.echochain.local/listing/00386,82.86,Possible Match
https://mock.echochain.local/listing/00034,used - excellent,USD,synthetic_mock,True,Miami,431.96,Latitude 5491 Laptop Used - Excellent Tested Working,Latitude 5491 Laptop Used - Excellent Tested Working,2026-08-30 03:21:16,dell laptop,mock_seller_5,Low,https://mock.echochain.local/listing/00035,83.5,Possible Match
https://mock.echochain.local/listing/00088,used - excellent,USD,synthetic_mock,True,New York,316.55,Dell DC15250 Laptop - Used - Excellent,Dell DC15250 Laptop - Used - Excellent,2026-08-24 16:14:16,dell laptop,mock_seller_42,Low,https://mock.echochain.local/listing/00203,82.76,Possible Match
https://mock.echochain.local/listing/00019,used - excellent,USD,synthetic_mock,True,Dallas,653.01,HP 16-by0015dx Laptop 256GB Fast Shipping,HP 16-by0015dx Laptop 256GB Fast Shipping,2026-08-13 13:13:16,hp laptop,mock_seller_52,Low,https://mock.echochain.local/listing/00010,96.3,Strong Match
https://mock.echochain.local/listing/00445,used - good,USD,synthetic_mock,True,Seattle,228.08,HP 14-em0002wm Used - Good 256GB,HP 14-em0002wm Used - Good 256GB,2026-08-09 12:13:16,hp laptop,mock_seller_35,Low,https://mock.echochain.local/listing/00419,89.66,Possible Match
https://mock.echochain.local/listing/00188,new,USD,synthetic_mock,True,Miami,477.11,Latitude 5491 Laptop Tested Working,Latitude 5491 Laptop Tested Working,2026-08-23 06:47:16,dell laptop,mock_seller_83,Low,https://mock.echochain.local/listing/00344,100.0,Strong Match
https://mock.echochain.local/listing/00312,open box,USD,synthetic_mock,True,New York,193.15,Apple A1660 Open Box,Apple A1660 Open Box,2026-08-19 22:02:16,apple iphone,mock_seller_71,Low,https://mock.echochain.local/listing/00430,75.56,Possible Match
https://mock.echochain.local/listing/00326,certified refurbished,USD,synthetic_mock,True,Houston,608.19,Dell Laptop DC15250 128GB - Certified Refurbished,Dell Laptop DC15250 128GB - Certified Refurbished,2026-08-06 04:47:16,dell laptop,mock_seller_33,Low,https://mock.echochain.local/listing/00079,94.85,Strong Match
https://sandbox.ebay.com/itm/Apple-iPhone-7-32GB-Black-Unlocked-A1660-CDMA-GSM/110589986859?src=urllib&_skw=Apple+iPhone&hash=item19bfad482b:g:default1,new,USD,ebay_sandbox,False,,39.99,Apple iPhone 7 - 32GB - Black (Unlocked) A1660 (CDMA + GSM),Apple iPhone 7 - 32GB - Black (Unlocked) A1660 (CDMA + GSM),2026-08-20 19:31:41,apple iphone,,Low,https://sandbox.ebay.com/itm/Apple-iPhone-7-32GB-Black-Unlocked-A1660-CDMA-GSM/110589984328?src=urllib&_skw=Apple+iPhone&hash=item19bfad3e48:g:default1,100.0,Strong Match
